rate_per_100000, rank, num_incidents, areasqkm18, lga_code18, bocsar_lga_name, lga_name18
557.8,31,291,305.9459,"10050","Albury","Albury (C)"
646.6,16,196,8620.699,"10130","Armidale Regional","Armidale Regional (A)"
248.7,88,106,484.9389,"10250","Ballina","Ballina (A)"
null,null,4,21690.6753,"10300","Balranald","Balranald (A)"
568.5,28,241,3817.8646,"10470","Bathurst Regional","Bathurst Regional (A)"
334.2,72,551,49.8904,"10500","Bayside","Bayside (A)"
303.4,81,103,6278.8811,"10550","Bega Valley","Bega Valley (A)"
302.5,82,39,1600.4337,"10600","Bellingen","Bellingen (A)"
175.0,106,15,2065.7759,"10650","Berrigan","Berrigan (A)"
586.9,24,2040,240.0487,"10750","Blacktown","Blacktown (C)"
381.4,64,23,8557.6535,"10800","Bland","Bland (A)"
539.2,37,40,1524.647,"10850","Blayney","Blayney (A)"
284.6,85,224,1431.1442,"10900","Blue Mountains","Blue Mountains (C)"
null,null,28,14599.8996,"10950","Bogan","Bogan (A)"
null,null,94,41599.5072,"11150","Bourke","Bourke (A)"
null,null,40,19163.4798,"11200","Brewarrina","Brewarrina (A)"
1115.0,5,201,170.1153,"11250","Broken Hill","Broken Hill (C)"
201.5,98,387,35.3713,"14170","Inner West","Inner West (A)"
643.7,17,108,8597.2081,"14200","Inverell","Inverell (A)"
201.2,99,13,2030.0222,"14300","Junee","Junee (A)"
757.1,10,223,3375.6707,"14350","Kempsey","Kempsey (A)"
145.2,110,32,257.6636,"14400","Kiama","Kiama (A)"
57.7,120,71,85.4096,"14500","Ku-Ring-Gai","Ku-ring-gai (A)"
562.2,29,51,3584.1644,"14550","Kyogle","Kyogle (A)"
724.2,11,46,14964.2752,"14600","Lachlan","Lachlan (A)"
366.8,68,744,648.6398,"14650","Lake Macquarie","Lake Macquarie (C)"
95.2,119,36,10.4794,"14700","Lane Cove","Lane Cove (A)"
683.1,13,78,1167.1877,"14750","Leeton","Leeton (A)"
431.3,57,190,1287.7043,"14850","Lismore","Lismore (C)"
394.9,63,85,4512.2563,"14870","Lithgow","Lithgow (C)"
416.1,60,883,305.7396,"14900","Liverpool","Liverpool (C)"
482.6,48,38,5082.2397,"14920","Liverpool Plains","Liverpool Plains (A)"
314.3,76,10,2895.8049,"14950","Lockhart","Lockhart (A)"
612.6,20,486,391.5087,"15050","Maitland","Maitland (C)"
453.5,53,417,10053.8633,"15240","Mid-Coast","Mid-Coast (A)"
496.6,45,122,8752.259,"15270","Mid-Western Regional","Mid-Western Regional (A)"
