lga_name, lga_code, lw_excse_2_asr
"Albury (C)",10050,70.5
"Armidale Dumaresq (A)",10110,68.2
"Ashfield (A)",10150,66.1
"Auburn (C)",10200,71.8
"Ballina (A)",10250,67.1
"Balranald (A)",10300,76.6
"Bankstown (C)",10350,72.2
"Bathurst Regional (A)",10470,69.3
"Bega Valley (A)",10550,70.0
"Bellingen (A)",10600,71.9
"Berrigan (A)",10650,74.7
"Blacktown (C)",10750,73.2
"Bland (A)",10800,78.4
"Blayney (A)",10850,73.8
"Blue Mountains (C)",10900,64.2
"Bogan (A)",10950,78.5
"Bombala (A)",11000,79.6
"Boorowa (A)",11050,73.6
"Botany Bay (C)",11100,69.2
"Bourke (A)",11150,null
"Brewarrina (A)",11200,null
"Broken Hill (C)",11250,74.3
"Canada Bay (A)",11520,60.3
"Canterbury (C)",11550,71.9
"Carrathool (A)",11600,81.8
"Central Darling (A)",11700,74.3
"Cessnock (C)",11720,73.5
"Burwood (A)",11300,65.8
"Byron (A)",11350,65.5
"Cabonne (A)",11400,72.9
"Camden (A)",11450,67.6
"Campbelltown (C)",11500,71.9
"Clarence Valley (A)",11730,72.1
"Cobar (A)",11750,78.5
"Coffs Harbour (C)",11800,69.0
"Conargo (A)",11860,73.9
"Coolamon (A)",12000,76.4
"Cooma-Monaro (A)",12050,68.0
"Coonamble (A)",12150,78.5
"Cootamundra (A)",12200,73.1
"Corowa Shire (A)",12300,74.7
"Cowra (A)",12350,74.1
"Deniliquin (A)",12500,71.5
"Dubbo (C)",12600,70.0
"Dungog (A)",12700,73.7
"Eurobodalla (A)",12750,67.5
"Fairfield (C)",12850,76.6
"Forbes (A)",12900,77.8
"Gilgandra (A)",12950,78.1
"Glen Innes Severn (A)",13010,74.1
"Gloucester (A)",13050,73.6
"Gosford (C)",13100,65.6
"Goulburn Mulwaree (A)",13310,72.2
"Great Lakes (A)",13320,69.7
"Greater Hume Shire (A)",13340,70.4
"Greater Taree (C)",13380,71.8
