all_sexual_offences, lga_name, all_offences_against_the_person_excluding_sexual, state_code, lga_code, all_robbery_and_extortion_offences
8.89,"Adelaide (C)",93.45,"4",40070.0,11.65
1.37,"Ceduna (DC)",56.84,"4",41010.0,1.1
1.04,"Charles Sturt (C)",9.69,"4",41060.0,1.02
1.04,"Clare and Gilbert Valleys (DC)",6.26,"4",41140.0,0.0
0.0,"Cleve (DC)",2.74,"4",41190.0,0.0
0.0,"Coober Pedy (DC)",77.82,"4",41330.0,1.11
0.63,"Copper Coast (DC)",9.86,"4",41560.0,0.08
1.81,"Elliston (DC)",8.13,"4",41750.0,0.0
5.76,"Flinders Ranges (DC)",7.49,"4",41830.0,0.0
0.76,"Franklin Harbour (DC)",8.4,"4",41960.0,0.0
1.2,"Gawler (T)",11.42,"4",42030.0,0.96
0.66,"Adelaide Hills (DC)",3.68,"4",40120.0,0.05
1.41,"Goyder (DC)",7.77,"4",42110.0,0.0
0.51,"Grant (DC)",5.88,"4",42250.0,0.0
1.82,"Holdfast Bay (C)",10.35,"4",42600.0,0.9
0.45,"Kangaroo Island (DC)",6.03,"4",42750.0,0.0
0.0,"Karoonda East Murray (DC)",4.5,"4",43080.0,0.0
0.0,"Kimba (DC)",0.0,"4",43220.0,0.0
0.42,"Kingston (DC)",10.5,"4",43360.0,0.0
0.22,"Light (RegC)",4.01,"4",43650.0,0.0
0.42,"Lower Eyre Peninsula (DC)",2.91,"4",43710.0,0.42
1.8,"Loxton Waikerie (DC)",6.86,"4",43790.0,0.09
1.22,"Alexandrina (DC)",7.47,"4",40220.0,0.13
0.84,"Mallala (DC)",8.41,"4",43920.0,0.12
1.25,"Marion (C)",8.63,"4",44060.0,0.63
1.34,"Mid Murray (DC)",7.8,"4",44210.0,0.12
0.63,"Mitcham (C)",4.17,"4",44340.0,0.28
2.86,"Mount Barker (DC)",6.81,"4",44550.0,0.14
2.09,"Mount Gambier (C)",18.9,"4",44620.0,0.35
0.34,"Mount Remarkable (DC)",5.51,"4",44830.0,0.0
1.99,"Murray Bridge (RC)",22.91,"4",45040.0,0.82
0.6,"Naracoorte and Lucindale (DC)",10.0,"4",45090.0,0.0
0.21,"Northern Areas (DC)",2.36,"4",45120.0,0.0
5.65,"Anangu Pitjantjatjara (AC)",108.24,"4",40250.0,0.4
1.2,"Norwood Payneham St Peters (C)",7.25,"4",45290.0,0.59
1.09,"Onkaparinga (C)",10.48,"4",45340.0,0.55
0.0,"Orroroo/Carrieton (DC)",4.37,"4",45400.0,0.0
1.09,"Peterborough (DC)",18.5,"4",45540.0,0.0
1.8,"Playford (C)",19.97,"4",45680.0,1.78
1.79,"Port Adelaide Enfield (C)",15.32,"4",45890.0,1.31
1.81,"Port Augusta (C)",32.28,"4",46090.0,0.62
0.7,"Port Lincoln (C)",17.47,"4",46300.0,0.35
1.59,"Port Pirie City and Dists (M)",14.39,"4",46450.0,0.57
0.82,"Prospect (C)",7.85,"4",46510.0,1.7
1.1,"Barossa (DC)",5.98,"4",40310.0,0.23
1.25,"Renmark Paringa (DC)",13.48,"4",46670.0,0.21
2.11,"Robe (DC)",4.92,"4",46860.0,0.0
0.43,"Roxby Downs (M)",7.49,"4",46970.0,0.0
1.13,"Salisbury (C)",13.81,"4",47140.0,1.15
1.86,"Southern Mallee (DC)",7.42,"4",47290.0,0.0
0.47,"Streaky Bay (DC)",9.81,"4",47490.0,0.0
1.61,"Tatiara (DC)",6.43,"4",47630.0,0.0
0.69,"Tea Tree Gully (C)",7.08,"4",47700.0,0.43
1.93,"The Coorong (DC)",14.89,"4",47800.0,0.0
0.0,"Tumby Bay (DC)",3.44,"4",47910.0,0.0
0.39,"Barunga West (DC)",6.25,"4",40430.0,0.78
0.84,"Unley (C)",5.48,"4",47980.0,0.47
3.11,"Victor Harbor (C)",10.07,"4",48050.0,0.22
1.66,"Wakefield (DC)",8.9,"4",48130.0,0.15
1.52,"Walkerville (M)",8.4,"4",48260.0,1.38
0.83,"Wattle Range (DC)",6.3,"4",48340.0,0.08
0.68,"West Torrens (C)",7.57,"4",48410.0,0.81
1.88,"Whyalla (C)",22.26,"4",48540.0,0.31
0.68,"Yankalilla (DC)",9.68,"4",48750.0,0.23
0.35,"Yorke Peninsula (DC)",7.34,"4",48830.0,0.09
1.28,"Berri and Barmera (DC)",16.51,"4",40520.0,0.28
1.62,"Unincorporated SA",22.42,"4",49399.0,0.0
0.41,"Burnside (C)",3.16,"4",40700.0,0.27
0.59,"Campbelltown (C)",5.18,"4",40910.0,0.39
